Cp,MaxDepth,MinSplit,Acc,Sen,Spe,MCC,F1,AUC
0,2,30,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,31,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,2,32,0.798076923,0.78125,0.825,0.592632381,0.826446281,0.803125
0,3,1,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,2,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,3,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,4,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,5,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,6,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,7,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,8,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,9,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,10,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,11,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,12,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,13,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,14,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,15,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,16,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,17,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,18,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,19,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,20,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,21,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,22,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,23,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,24,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,25,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,26,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,27,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,28,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,29,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,30,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,31,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,3,32,0.875,0.9375,0.775,0.733577975,0.902255639,0.85625
0,4,1,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,2,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,3,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,4,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,5,0.875,0.875,0.875,0.740938396,0.896,0.875
0,4,6,0.875,0.875,0.875,0.740938396,0.896,0.875
